method,dataset,category,seed,noise,run_id,Image-AUROC,Image-AP,Pixel-AUROC,Pixel-AP,PRO,best_epoch,params(M),FLOPs(G),latency(ms/img),gpu_mem(MB)
GLASS,mvtec,bottle,0,0.0,20251024-115053,0.992063492063492,0.997631120632523,0.9542872277498552,0.7216447094134296,0.9309714559449476,8,68.88,18.96,6.71,597.22
GLASS,mvtec,cable,0,0.0,20251024-115053,0.915104947526237,0.9542911286112548,0.948844243418141,0.4835246685240101,0.8689602912261982,77,68.88,18.96,9.49,596.16
GLASS,mvtec,capsule,0,0.0,20251024-115053,0.9601116872756282,0.9922431369310843,0.9685496601553576,0.334288378218699,0.9257241389850892,154,68.88,18.96,9.35,596.16
GLASS,mvtec,carpet,0,0.0,20251024-115053,0.9959871589085072,0.9987251260455056,0.995702265291644,0.807192377459745,0.9876175651271976,489,68.88,18.96,9.51,596.16
GLASS,mvtec,grid,0,0.0,20251024-115053,1.0,1.0,0.9928613918237484,0.4544155481370862,0.9675896365927036,463,68.88,18.96,7.03,596.16
GLASS,mvtec,hazelnut,0,0.0,20251024-115053,1.0,0.9999999999999998,0.9891893344382388,0.6404024037076826,0.8734972850757945,36,68.88,18.96,8.73,596.16
GLASS,mvtec,leather,0,0.0,20251024-115053,1.0,1.0,0.9983323176542348,0.7684675926589526,0.995212247570843,178,68.88,18.96,8.51,596.16
GLASS,mvtec,metal_nut,0,0.0,20251024-115053,0.9990224828934506,0.9997699893973724,0.9853515250423184,0.8663706148889303,0.9425366625840064,371,68.88,18.96,6.84,596.16
GLASS,mvtec,pill,0,0.0,20251024-115053,0.94544462629569,0.989981188805127,0.9688105616292167,0.7474790925519617,0.9631842077709348,100,68.88,18.96,7.96,596.16
GLASS,mvtec,screw,0,0.0,20251024-115053,0.9280590284894444,0.976159607516063,0.979252835268622,0.2968368125966097,0.9249152726859312,174,68.88,18.96,8.02,596.16
GLASS,mvtec,tile,0,0.0,20251024-115053,1.0,0.9999999999999998,0.9964517413204286,0.9656660781618752,0.9668217854278814,346,68.88,18.96,6.88,596.16
GLASS,mvtec,toothbrush,0,0.0,20251024-115053,1.0,1.0,0.9770582114936984,0.4636448087913022,0.919476847622532,590,68.88,18.96,6.18,596.16
GLASS,mvtec,transistor,0,0.0,20251024-115053,0.9920833333333334,0.9899130036630036,0.9462194012326964,0.6090493200133161,0.909662259231254,506,68.88,18.96,7.27,596.16
GLASS,mvtec,wood,0,0.0,20251024-115053,1.0,1.0000000000000002,0.986761970724128,0.834823427071108,0.9598413731751918,552,68.88,18.96,6.26,596.16
GLASS,mvtec,zipper,0,0.0,20251024-115053,0.9989495798319328,0.9997227434850506,0.9960725726752554,0.8231841665483138,0.9883723691270844,475,68.88,18.96,7.24,596.16
